sample,dFMQ
GFL-PL-780-11-07,0.8219491303580089
GFL-PL-778-08-PBT01,0.7494019077840388
GFL_DR22_02_03,0.7604472615414899
MAY-DR-08-02,1.4078362502201411
MAY15-DR17-04-02,2.586706100143372
MAY15-DR13-01-01,1.5208118683222516
MAY02-DR07-02-07,1.523819770968693
MAY01-DR04-06,0.9086142158110739
MAY01-DR03-02,1.2988827836220658
MAY01-DR05-04,1.5468257303518858
MAY02-DR06-02-01,1.575778010827345
MAY04-DR09-01-05a,3.0814110481683397
GFL-DR21-01,0.6180238144560395
