Produit,sio2,tio2,al2o3,feo,mno,mgo,cao,na2o,k2o,p2o5,h2o,S_,ese_S_,F_,ese_F_,Cl_,ese_Cl_,Mg#,Fe3,Fe3/Fe2,S6,S6_meas,C,M,Y,K,T_start,comment,abbrev,T_start_save,h2o_save,S6_jugo,log_fo2_Boulliung2023_CalcOnS6,FMQ,dFMQ_Boulliung2023,NSW log S6/S2,NSW S6/Stot,Ju,Include,dFMQ_Bell2025,dFMQ_M2005_Fe,Ol_Fa_prop,Case,Sample,logfO2 MELTS OSaS,mu O2 kJ,mu0 O2 kJ,mu SiO2 liq kJ,mu Fe3O4 corrected kJ,mu Fe3O4 uncorrected kJ,muFe2SiO4 kJ
GFL-PL-780-11-07,51.1889582257819,2.71920779154541,16.8199754994449,9.85507445492476,0.231257160032213,3.22872636448312,6.7815232916189,4.96213405142407,2.97582560452927,1.22653339729801,1.148,985.05,82,1568.7,352,717.9,71,36.8815147216104,0.22,0.282051282051282,0.04,1,0.00196078431372548,0.709281307605853,0.923289106105489,1.0,1058,,PL-780,1058,1.148,0.04,-9.775,-10.0913786626597,0.316378662659654,-2.49746402171347,0.00317071179326225,0.0329757506162649,1,0.2998513345314642,0.82,0.294,3.0,GFL-PL-780-11-07,-9.78940588666825,-552.560739098273,-303.169037328249,-1023.90372120912,-1493.45258757565,-1496.64231538506,-1835.35186656013
GFL-PL-778-08-PBT01,50.4803475553549,2.721188124509,16.4196702554185,10.4305105068557,0.22326078729,3.33273619119146,6.86969085527003,5.04261183556423,2.94006090021921,1.49259662758542,0.961,869.052631578947,72,1830.31578947368,355,956.736842105263,132,36.3001826231904,0.21,0.265822784810127,0.03,1,0.170588235294118,0.494655843399779,0.966718404269187,1.0,1133,,PL-777,1133,0.961,0.03,-8.99,-9.0871266002845,0.0971266002844953,-1.96997027678103,0.0106023128236821,0.012271308374523,1,0.33420195513116546,0.75,0.301,1.0,GFL-PL-778-08-PBT01,-8.75102348312222,-558.063422606066,-322.446056954768,-1035.4548621745,-1527.1923908739,-1531.85947162841,-1867.56198188841
GFL_DR22_02_03,44.7185194136532,3.86486306284188,14.0872647132555,12.8835407038012,0.231282867933053,4.70741171815673,10.1688865196437,4.68235089627488,2.70665638849022,1.93265457751525,1.03,1218.05,99,1898.45,528,1573.2,127,39.4566578285157,0.24,0.315789473684211,0.05,1,0.5,0.0,1.0,1.0,1106,,DR22,1106,1.03,0.05,-9.13,-9.43607324147933,0.306073241479332,-1.63181357252957,0.0228120610652401,0.031495473212259,1,,0.76,0.244,,,,,,,,,
MAY-DR-08-02,48.0196969080104,2.88896113008189,15.5899824106702,11.5105227013127,0.237469385038922,3.75856965744517,8.55150185100261,5.16253338428335,2.9929037150045,1.25535032030105,1.2576,1061.05,81,1726.45,267,1289.1,93,36.8041191765973,0.3,0.428571428571429,0.03,1,0.335294117647059,0.255842777594436,0.991644695510743,1.0,1069,,DR08,1069,1.2576,0.03,-9.73,-9.93706408345753,0.207064083457524,-0.934394331028351,0.104189040888781,0.0201960917202317,1,,1.4,0.269,,,,,,,,,
MAY15-DR17-04-02,59.2023453450057,0.0490055792393535,19.4883557922493,5.05215895485532,0.23296450891712,0.0578136032565171,1.08898082199571,8.86351971936296,5.90181906814608,0.0630366069719579,1.27,50.0,35,2234.0,187,2301.2,92,1.99914929058057,0.37,0.587301587301587,0.17,1,1.0,1.22464679914735e-16,6.12323399573677e-17,1.0,939,,DR17,939,1.27,0.17,-11.175,-11.9398432343234,0.764843234323433,-1.16225746814411,0.0643926303638699,0.211952623373834,0,,2.57,,,,,,,,,,
MAY15-DR13-01-01,59.8456780064365,0.240862041112196,18.5890110969559,5.55907536838388,0.246067563372057,0.288854720085568,1.3637391601832,7.62348527895284,6.01892548992682,0.209065700689593,1.61,115.05,31,1678.75,274,1492.25,77,8.47798821858523,0.26,0.351351351351351,0.1,1,1.0,0.494655843399779,0.255842777594436,1.0,948,,DR13,948,1.61,0.1,-11.05,-11.7874488124488,0.737448812448811,-2.8545197683272,0.00139596184968788,0.191645806453881,1,,1.52,0.726,,,,,,,,,
MAY02-DR07-02-07,59.5770738409744,0.213418546570905,18.695167599039,5.68458974442139,0.238162725883474,0.315356668260184,1.2592455751682,7.70184204056748,6.13480783070544,0.156286944107957,1.78,111.35,27,1678.35,177,1556.85,63,8.99989716883334,0.27,0.36986301369863,0.12,1,1.0,0.255842777594436,0.128999216530203,1.0,948,,DR07,948,1.78,0.12,-11.0,-11.7874488124488,0.787448812448812,-2.67612556193768,0.0021035842030898,0.229861590984904,1,,1.52,0.73,,,,,,,,,
MAY01-DR04-06,50.9044599440323,2.37190776141439,15.9275569184989,10.1444736785091,0.250079275242799,3.05225394451192,6.81411627354493,5.92472354957256,3.38578676727612,1.19951578559773,1.254,815.333333333334,68,1392.27777777778,397,1412.11111111111,111,34.9214034118631,0.23,0.298701298701299,0.03,1,0.668627450980392,0.965124085200289,0.607538946338817,1.0,1058,,DR04,1058,1.254,0.03,-9.86,-10.0913786626597,0.231378662659655,-2.29819176000638,0.00500758133102888,0.022535049629827,1,0.27743715463308405,0.91,0.305,5.0,MAY01-DR04-06,-9.81182006656663,-553.27656835246,-303.252244781219,-1025.28087390205,-1491.39962484679,-1495.13488932072,-1835.12176768242
MAY01-DR03-02,48.4718592459989,2.5687151377664,15.2113758958387,12.1330153066879,0.26860214371401,3.85875489235247,7.44191200888285,5.22412715366372,3.15062367990398,1.66143908720465,1.137,1071.85,85,2356.65,405,1146.65,104,36.1928094936632,0.28,0.388888888888889,0.03,0,0.503921568627451,0.9999810273487268,0.7049255469061472,1.0,1092,S6: median of mafic samples,DR03,1092,1.137,0.03,-9.41,-9.62244322344322,0.212443223443222,-1.04506265573098,0.0826900838889697,,1,0.35929849923390833,1.3,0.295,4.0,MAY01-DR03-02,-9.26112764441331,-553.94367685751,-311.911640691877,-1030.85857890684,-1505.8068406668,-1510.56177562369,-1850.08191373221
MAY01-DR05-04,46.9811912956825,3.84987667784867,14.4105455908985,11.7682354256402,0.220455719219141,4.05684652448753,9.23094638552366,4.9355797853741,3.07321262487664,1.44182653277872,1.0,1318.05,87,1872.4,401,1416.55,123,38.0747833880342,0.31,0.449275362318841,0.03,0,0.8333333333333333,0.8660254037844387,0.5000000000000001,1.0,1078,S6: median of mafic samples,DR05,1078,1.0,0.03,-9.61,-9.81267579570689,0.202675795706886,-0.681346117097252,0.1723793376391,,1,0.4383148536195751,1.55,0.249,6.0,MAY01-DR05-04,-9.37230184326826,-550.771262359,-308.347302210074,-1029.64885086895,-1500.62580392836,-1505.22627700972,-1846.47563270153
MAY02-DR06-02-01,48.3213319927627,2.61797610435395,15.169159305811,11.9532938481646,0.28535692316485,3.89655973685913,7.45071372600923,5.31706512796835,3.39999338237395,1.57021038034806,0.7329,642.9,58,1477.65,383,1774.4,102,36.7648080088544,0.29,0.408450704225352,0.03,0,0.3313725490196078,0.965124085200289,0.7942898895752861,1.0,1114,S6: median of mafic samples,DR06,1114,0.7329,0.03,-9.19,-9.33126532083634,0.141265320836339,-0.6602948046657,0.179404836994331,,1,0.527673276591166,1.57,0.258,7.0,MAY02-DR06-02-01,-8.80163844168011,-551.122197443204,-317.442511599304,-1034.37614218668,-1515.94365049292,-1521.49305073959,-1861.29784336756
MAY04-DR09-01-05a,45.3901379346064,3.40834223851511,15.9188984583913,11.9256519580321,0.205619501371159,4.52573794812827,11.3584564043755,3.9351065267186,2.35671582340789,0.962783077008483,0.8787,918.05,67,1437.2,317,1293.8,123,40.3661224369324,0.51,1.04081632653061,0.03,0,1.0,0.7005430375932911,0.3784110500423103,1.0,1086,S6: median of mafic samples,DR09,1086,0.8787,0.03,-9.67,-9.70349153789551,0.0334915378955092,2.31640994480492,0.995197148287165,,0,0.9565403932224985,3.08,0.2,8.0,MAY04-DR09-01-05a,-8.74491621568748,-537.938446916476,-310.394805310942,-1031.08383245591,-1502.44950965002,-1508.06507229382,-1853.40402325044
GFL-DR21-01,56.0945156385155,1.15385520794542,17.8105819095124,7.91095740893473,0.19750301024869,1.44796824935592,3.87876415900584,6.76298218034405,4.25733320017825,0.465493180416537,1.53,393.35,71,1230.65,386,1240.3,84,24.6062851375287,0.19,0.234567901234568,0.03,0,0.1666666666666666,0.8660254037844386,0.8660254037844387,1.0,997,S6: median of mafic samples,DR21,997,1.53,0.03,-10.63,-10.9956377952756,0.365637795275589,-3.75491179557551,0.000175797158057986,,1,0.04564106678214941,0.62,0.442,10.0,GFL-DR21-01,-10.9476666134131,-566.050386149517,-294.404872699244,-1018.58597815997,-1479.06356474225,-1480.5086648487,-1815.94489260496
