,filename,type,sample,pre1,pre2,norm1,norm2,nnorm,nvict,area_S6,I_S6,redox_S6,redox_S6_L2021,redox_S6_J2010,redox_S6_LL2023
0,DR04_morning_Smaps1_POI1_01.dat,0,DR04,-20,-10,42,60,0,4,,0.43386658025170205,0.0,,0.02352055168099132,0.04317409747230294
1,DR04_morning_Smaps1_POI1_02.dat,0,DR04,-20,-10,42,60,0,4,,0.4534361370164385,0.0,,0.035346669278306764,0.07640631954948007
2,DR04_morning_Smaps1_POI1_03.dat,0,DR04,-20,-10,42,60,0,4,,0.45734281603978194,0.0,,0.03784744025234699,0.08304048231815064
3,DR04_morning_Smaps1_POI1_04.dat,1,DR04,-20,-10,42,60,0,4,0.08722729397351126,0.48272988198120376,0.0,0.07409230188315648,0.05510032827789513,0.12615176089210012
4,DR04_morning_Smaps1_POI2_01.dat,0,DR04,-20,-10,42,60,0,4,,0.40763983144145544,0.0,,0.009762996511661681,-0.0013630962568363936
5,DR04_morning_Smaps1_POI2_02.dat,0,DR04,-20,-10,42,60,0,4,,0.4332584591124183,0.0,,0.023172989857971782,0.042141410989238626
6,DR04_morning_Smaps1_POI2_03.dat,0,DR04,-20,-10,42,60,0,4,,0.4491643699179211,0.0,,0.03266337824554788,0.0691521791217461
7,DR04_morning_Smaps1_POI2_04.dat,1,DR04,-20,-10,42,60,0,4,0.07864387649212125,0.48150537975091623,0.0,0.06668442227574917,0.05423096830597984,0.1240723612132969
8,DR04_morning_Smaps1_POI3_01.dat,0,DR04,-20,-10,42,60,0,4,,0.4422297699056107,0.0,,0.028425849458967978,0.05737612458990515
9,DR04_morning_Smaps1_POI3_02.dat,0,DR04,-20,-10,42,60,0,4,,0.4513402418649466,0.0,,0.03402335723355798,0.07284715599957459
10,DR04_morning_Smaps1_POI3_03.dat,0,DR04,-20,-10,42,60,0,4,,0.4628082058417808,0.0,,0.04141844544411233,0.09232158407338553
11,DR04_morning_Smaps1_POI3_04.dat,1,DR04,-20,-10,42,60,0,4,0.09115963174360796,0.4824088614821415,0.0,0.07749461736074603,0.05487207008904693,0.12560661699106979
12,DR04_morning_Smaps1_POI4_01.dat,0,DR04,-20,-10,42,60,0,4,,0.4394461335257439,0.0,,0.026767602243185307,0.052649066973325165
13,DR04_morning_Smaps1_POI4_02.dat,0,DR04,-20,-10,42,60,0,4,,0.4436937001710044,0.0,,0.029307898447708647,0.05986211117968465
14,DR04_morning_Smaps1_POI4_03.dat,0,DR04,-20,-10,42,60,0,4,,0.45438471072174486,0.0,,0.035949821369114954,0.07801714867608123
15,DR04_morning_Smaps1_POI4_04.dat,1,DR04,-20,-10,42,60,0,4,0.08513369449658784,0.47503275601255185,0.0,0.07228307568966927,0.04969557870829855,0.11308081592275998
16,DR04_morning_Smaps1_POI5_01.dat,0,DR04,-20,-10,42,60,0,4,,0.44215484253840087,0.0,,0.028380887644260278,0.057248885994943044
17,DR04_morning_Smaps1_POI5_02.dat,0,DR04,-20,-10,42,60,0,4,,0.43165959302038476,0.0,,0.02226524969874133,0.03942628188943842
18,DR04_morning_Smaps1_POI5_03.dat,0,DR04,-20,-10,42,60,0,4,,0.45010892841733036,0.0,,0.0332520075677204,0.0707561897896739
19,DR04_morning_Smaps1_POI5_04.dat,1,DR04,-20,-10,42,60,0,4,0.07544975824704944,0.47298919978895765,0.0,0.06393427232669932,0.04828508982564339,0.10961053220268846
20,DR04_morning_Smaps1_POI6_01.dat,0,DR04,-20,-10,42,60,0,4,,0.6415789100455095,0.0,,0.19293993798314957,0.39590269295659786
21,DR04_morning_Smaps1_POI6_02.dat,0,DR04,-20,-10,42,60,0,4,,0.6252825100957498,0.0,,0.17648404877878665,0.36822881210688996
22,DR04_morning_Smaps1_POI6_03.dat,0,DR04,-20,-10,42,60,0,4,,0.6347503714166725,0.0,,0.18596551015730967,0.38430674753462446
23,DR04_morning_Smaps1_POI6_04.dat,1,DR04,-20,-10,42,60,0,4,0.41241603657429426,0.797319817912008,0.0,0.37355477419979216,0.4020988664234315,0.6603755422368085
24,DR08_02_Smaps1_POI1_01.dat,0,MAYOBS-DR08-02,-20,-10,42,60,0,4,,0.45110449011076015,0.0,,0.033875321371129585,0.07244681199871672
25,DR08_02_Smaps1_POI1_02.dat,0,MAYOBS-DR08-02,-20,-10,42,60,0,4,,0.45667289429772373,0.0,,0.03741548952618856,0.08190284857539132
26,DR08_02_Smaps1_POI1_03.dat,1,MAYOBS-DR08-02,-20,-10,42,60,0,4,0.09191081176747547,0.4855422062198444,0.0,0.07814515887311856,0.057110334118924744,0.1309275350588377
27,DR08_02_Smaps1_POI2_01.dat,0,MAYOBS-DR08-02,-20,-10,42,60,0,4,,0.42922483122687793,0.0,,0.02090002890890319,0.03529166884737678
28,DR08_02_Smaps1_POI2_02.dat,0,MAYOBS-DR08-02,-20,-10,42,60,0,4,,0.45604998508784417,0.0,,0.037015000825179944,0.080845049594786
29,DR08_02_Smaps1_POI2_03.dat,1,MAYOBS-DR08-02,-20,-10,42,60,0,4,0.07910889733332163,0.48271535552421974,0.0,0.0670851021617333,0.05508999414189497,0.12612709265611033
30,DR08_02_Smaps1_POI3_01.dat,0,MAYOBS-DR08-02,-20,-10,42,60,0,4,,0.4315503178982507,0.0,,0.022203532683212956,0.039240715339826426
31,DR08_02_Smaps1_POI3_02.dat,0,MAYOBS-DR08-02,-20,-10,42,60,0,4,,0.45257779648501745,0.0,,0.03480316137504058,0.07494872071364822
32,DR08_02_Smaps1_POI6_01.dat,0,MAYOBS-DR08-02,-20,-10,42,60,0,4,,0.4561752271908981,0.0,,0.0370954338438827,0.08105773061930466
33,DR08_02_Smaps1_POI6_02.dat,0,MAYOBS-DR08-02,-20,-10,42,60,0,4,,0.45674740289257876,0.0,,0.03746346781625831,0.08202937602824312
34,DR08_02_Smaps1_POI6_03.dat,1,MAYOBS-DR08-02,-20,-10,42,60,0,4,0.09055340924587005,0.4861106232589282,0.0,0.07696975545701386,0.05751882394264474,0.13189279766045792
35,DR08_02_Smaps1_POI7_01.dat,0,MAYOBS-DR08-02,-20,-10,42,60,0,4,,0.4428628493686131,0.0,,0.028806457644311223,0.058451194279010577
36,DR08_02_Smaps1_POI7_02.dat,0,MAYOBS-DR08-02,-20,-10,42,60,0,4,,0.456818482609355,0.0,,0.037509252913307645,0.08215008070037688
37,DR17-04-02-Smap1_POI1_01.dat,0,MAYOBS-DR17-04-02,-20,-10,42,60,0,4,,0.629042641779785,0.0,,0.18022410082113605,0.3746141141689405
