,filename,test,f1,f2,Fe3_area_ratio,centroid_fit,centroid_trapz,redox_m
0,GFL_PL_780_11_07_test100prct2_01.dat,Test_100-2,7112.4,7113.5,0.5,7112.95,7112.458912720347,0.2
1,GFL_PL_780_11_07_test100prct2_02.dat,Test_100-2,7112.2,7113.5,0.5,7112.85,7112.484343001753,0.15
2,GFL_PL_780_11_07_test100prct2_03.dat,Test_100-2,7112.2,7113.503,0.5,7112.852,7112.50174076672,0.15
3,GFL_PL_780_11_07_test100prct2_04.dat,Test_100-2,7112.2,7113.5,0.482,7112.827,7112.142696748184,0.14
4,GFL_PL_780_11_07_test100prct2_05.dat,Test_100-2,7112.2,7113.5,0.5,7112.85,7112.533940286999,0.15
5,GFL_PL_780_11_07_test100prct2_06.dat,Test_100-2,7112.284,7113.5,0.5,7112.892,7112.53813572866,0.17
6,GFL_PL_780_11_07_test100prct2_07.dat,Test_100-2,7112.2,7113.5,0.479,7112.822,7112.125306802199,0.14
7,GFL_PL_780_11_07_test100prct2_08.dat,Test_100-2,7112.2,7113.5,0.5,7112.85,7112.364883015475,0.15
8,GFL_PL_780_11_07_test100prct2_09.dat,Test_100-2,7112.399,7113.5,0.5,7112.95,7112.440330691891,0.2
9,GFL_PL_780_11_07_test100prct2_10.dat,Test_100-2,7112.2,7113.5,0.5,7112.85,7112.489314719238,0.15
10,GFL_PL_780_11_07_test100prct_01.dat,Test_100-1,7112.2,7113.604,0.396,7112.756,7112.352051900277,0.11
11,GFL_PL_780_11_07_test100prct_02.dat,Test_100-1,7112.2,7113.571,0.191,7112.462,7112.302587507595,0.02
12,GFL_PL_780_11_07_test100prct_03.dat,Test_100-1,7112.2,7113.569,0.249,7112.541,7112.338573697945,0.04
13,GFL_PL_780_11_07_test100prct_04.dat,Test_100-1,7112.306,7113.5,0.0,7112.306,7112.071920508769,0.0
14,GFL_PL_780_11_07_test100prct_05.dat,Test_100-1,7112.2,7113.617,0.349,7112.695,7112.3504578391185,0.09
15,GFL_PL_780_11_07_test50prct_01.dat,Test_50,7112.2,7113.642,0.14,7112.402,7112.305986397867,0.01
16,GFL_PL_780_11_07_test50prct_02.dat,Test_50,7112.2,7113.5,0.124,7112.361,7112.314742343181,0.0
17,GFL_PL_780_11_07_test50prct_03.dat,Test_50,7112.2,7113.5,0.0,7112.2,7112.111281692826,0.0
18,GFL_PL_780_11_07_test50prct_04.dat,Test_50,7112.2,7113.5,0.084,7112.309,7112.31619068767,0.0
19,GFL_PL_780_11_07_test50prct_05.dat,Test_50,7112.2,7113.581,0.053,7112.273,7112.322924915269,0.0
20,GFL_PL_780_11_07_test70prct_01.dat,Test_70,7112.2,7113.58,0.297,7112.609,7112.308657940046,0.06
21,GFL_PL_780_11_07_test70prct_02.dat,Test_70,7112.2,7113.572,0.167,7112.429,7112.346138098741,0.01
22,GFL_PL_780_11_07_test70prct_03.dat,Test_70,7112.2,7113.659,0.187,7112.473,7112.334838900985,0.02
23,GFL_PL_780_11_07_test70prct_04.dat,Test_70,7112.2,7113.579,0.207,7112.485,7112.296652466736,0.02
24,GFL_PL_780_11_07_test70prct_05.dat,Test_70,7112.2,7113.635,0.239,7112.543,7112.306985819201,0.04
