,C,M,Y,K,name
0,0.5,0.0,1.0,1.0,GFL-DR22-02-03
1,0.33529411764705885,0.2558427775944356,0.9916446955107427,1.0,MAY02-DR08-02
2,0.17058823529411765,0.4946558433997788,0.9667184042691874,1.0,GFL-08-01
3,0.0019607843137254832,0.7092813076058534,0.9232891061054893,1.0,GFL-PL-780-11-07
4,0.16666666666666663,0.8660254037844386,0.8660254037844387,1.0,GFL-DR21-01-06
5,0.3313725490196078,0.965124085200289,0.7942898895752861,1.0,DR06-02-01
6,0.503921568627451,0.9999810273487268,0.7049255469061472,1.0,MAY01-DR03-02-01
7,0.6686274509803922,0.965124085200289,0.6075389463388169,1.0,MAY01-DR04-06
8,0.8333333333333333,0.8660254037844387,0.5000000000000001,1.0,DR05-04-01
9,1.0,0.7005430375932911,0.37841105004231035,1.0,DR09-01-05
10,1.0,0.4946558433997788,0.2558427775944356,1.0,MAY15-DR13-01-01
11,1.0,0.25584277759443586,0.1289992165302034,1.0,MAY02-DR07-02-07
12,1.0,1.2246467991473532e-16,6.123233995736766e-17,1.0,MAY15-DR17-04-02
