sample,dQFM_Fe_M2005,dQFM_Fe_KC1991,dQFM_Fe_B2018,dQFM_S_M2005,dQFM_S_J2010,dQFM_S_BW2023
GFL-PL-780-11-07,0.8219491303580089,0.7783033895003459,1.1813337125710177,-0.4330209654113393,0.35989437914006395,0.316378662659654
GFL-PL-778-08-PBT01,0.7494019077840388,0.6563922189088682,0.9225568391913495,-0.5261378996244748,0.295174760230585,0.0971266002844953
GFL_DR22_02_03,0.7604472615414899,0.854567841066121,1.030165396944847,-0.4050894029693666,0.410623199520701,0.306073241479332
MAY-DR-08-02,1.4078362502201411,1.5571018680330475,1.7802929783343409,-0.48585638468284387,0.29517476023039185,0.207064083457524
MAY15-DR17-04-02,2.586706100143372,1.9084043792165666,2.3782896386063506,-0.1261522135118014,0.7056854145010778,0.764843234323433
MAY15-DR13-01-01,1.5208118683222516,0.9056542033437296,1.410431584566286,-0.1439950492517088,0.5728787452795443,0.737448812448811
MAY02-DR07-02-07,1.523819770968693,1.0132183870367033,1.491066320683485,-0.0691740594980903,0.6173492869455109,0.787448812448812
MAY01-DR04-06,0.9086142158110739,0.7132489307038643,1.05759443324823,-0.46882922440854813,0.29517476022727374,0.231378662659655
MAY01-DR03-02,1.2988827836220658,1.425098245455633,1.5877443206649815,-0.42999077940137376,0.29517476023149924,0.212443223443222
MAY01-DR05-04,1.5468257303518858,1.604908535587505,1.8174072256500446,-0.5866935818262942,0.2951747602304494,0.202675795706886
MAY02-DR06-02-01,1.575778010827345,1.4929923576652762,1.6053626826834186,-0.5385104330006119,0.29517476023039346,0.141265320836339
MAY04-DR09-01-05a,3.0814110481683397,3.5552823638583515,3.6432022110904185,-0.6227998532017978,0.2951747602319968,0.0334915378955092
GFL-DR21-01,0.6180238144560395,0.17665373969134812,0.6543825540998185,-0.4238501012004505,0.2951747602303875,0.365637795275589
