,filename,sample,check_good,f1,f2,Fe3_area_ratio,centroid_fit,centroid_trapz,redox_F2017,redox_m
0,GFL_PL_780_11_07_CORE_pt10_01.dat,GFL_PL_780_11_07_CORE,1,7112.285,7113.951,0.428,7112.997,7112.921957645986,30.0,0.22
1,GFL_PL_780_11_07_CORE_pt6_01.dat,GFL_PL_780_11_07_CORE,1,7112.298,7113.956,0.416,7112.988,7112.902682548089,29.0,0.22
2,GFL_PL_780_11_07_CORE_pt7_01.dat,GFL_PL_780_11_07_CORE,1,7112.284,7113.938,0.424,7112.986,7112.89358719782,29.0,0.22
3,GFL_PL_780_11_07_CORE_pt8_01.dat,GFL_PL_780_11_07_CORE,1,7112.295,7113.957,0.419,7112.991,7112.929001718871,29.0,0.22
4,GFL_PL_780_11_07_CORE_pt9_01.dat,GFL_PL_780_11_07_CORE,1,7112.283,7113.93,0.423,7112.98,7112.915299610409,29.0,0.21
8,GFL_PL_780_11_07_POI1_04.dat,GFL_PL_780_11_07,1,7112.323,7114.007,0.407,7113.008,7112.90500415434,28.0,0.23
9,GFL_PL_780_11_07_POI2_01.dat,GFL_PL_780_11_07,1,7112.326,7113.999,0.406,7113.006,7112.874953245189,28.0,0.23
10,GFL_PL_780_11_07_POI3_01.dat,GFL_PL_780_11_07,1,7112.324,7114.013,0.405,7113.008,7112.912275080826,28.0,0.23
11,GFL_PL_780_11_07_POI4_01.dat,GFL_PL_780_11_07,1,7112.328,7113.999,0.404,7113.004,7112.890206531094,28.0,0.23
12,GFL_PL_780_11_07_POI5_01.dat,GFL_PL_780_11_07,1,7112.335,7114.013,0.405,7113.015,7112.921649745107,28.0,0.23
13,GFL_PL_780_11_07_ptmaps10_01.dat,GFL_PL_780_11_07_MAP,1,7112.313,7113.962,0.413,7112.995,7112.880217840386,28.0,0.22
14,GFL_PL_780_11_07_ptmaps11_01.dat,GFL_PL_780_11_07_MAP,1,7112.348,7114.033,0.402,7113.025,7112.856669660441,28.0,0.24
15,GFL_PL_780_11_07_ptmaps12_01.dat,GFL_PL_780_11_07_MAP,1,7112.316,7113.981,0.446,7113.058,7112.972109189619,31.0,0.25
16,GFL_PL_780_11_07_ptmaps13_01.dat,GFL_PL_780_11_07_MAP,1,7112.309,7113.969,0.405,7112.982,7112.893614350905,28.0,0.22
17,GFL_PL_780_11_07_ptmaps14_01.dat,GFL_PL_780_11_07_MAP,1,7112.303,7113.956,0.404,7112.971,7112.861174610611,28.0,0.21
18,GFL_PL_780_11_07_ptmaps15_01.dat,GFL_PL_780_11_07_MAP,1,7112.303,7113.95,0.407,7112.973,7112.902352385912,28.0,0.21
19,GFL_PL_780_11_07_ptmaps16_01.dat,GFL_PL_780_11_07_MAP,1,7112.289,7113.953,0.417,7112.982,7112.8798778559485,29.0,0.22
20,GFL_PL_780_11_07_ptmaps17_01.dat,GFL_PL_780_11_07_MAP,1,7112.305,7113.971,0.422,7113.007,7112.919959150445,29.0,0.23
21,GFL_PL_780_11_07_ptmaps18_01.dat,GFL_PL_780_11_07_MAP,1,7112.299,7113.946,0.42,7112.991,7112.894026807161,29.0,0.22
