# Energy, Intensity
2459.175,0.0000173
2459.718,-0.0118
2460.185,-0.0117
2460.729,0.012
2461.196,0.0121
2461.74,0.0121
2462.206,0.000316
2462.75,0.00037
2463.216,0.000416
2463.683,0.0123
2464.227,0.0124
2464.693,0.0124
2465.237,0.0125
2465.702,0.0125
2466.246,0.0126
2466.714,0.0126
2467.18,0.0126
2467.724,0.0127
2468.19,0.0127
2468.734,0.0128
2469.201,0.0128
2469.745,0.0129
2470.211,0.0129
2470.677,0.013
2471.222,0.013
2471.688,0.0249
2472.232,0.0368
2472.698,0.0487
2473.242,0.0606
2473.709,0.0488
2474.175,0.0725
2474.718,0.0844
2475.185,0.0844
2475.729,0.108
2476.196,0.132
2476.74,0.167
2477.206,0.238
2477.75,0.238
2478.216,0.262
2478.683,0.298
2479.227,0.345
2479.693,0.677
2480.237,1.683
2480.702,3.588
2481.246,7.908
2481.714,9.718
2482.18,8.026
2482.724,4.499
2483.19,2.581
2483.734,1.801
2484.201,1.541
2484.745,1.399
2485.211,1.257
2485.677,1.127
2486.222,0.996
2486.688,0.938
2487.232,0.867
2487.698,0.879
2488.242,0.902
2488.709,0.891
2489.175,0.95
2489.718,1.044
2490.185,1.139
2490.729,1.269
2491.196,1.329
2491.74,1.351
2492.206,1.376
2492.75,1.518
2493.216,1.554
2493.683,1.577
2494.227,1.625
2494.693,1.625
2495.237,1.66
2495.702,1.696
2496.246,1.72
2496.714,1.742
2497.18,1.767
2497.724,1.779
2498.19,1.791
2498.734,1.791
2499.201,1.767
2499.745,1.744
2500.211,1.696
2500.677,1.661
2501.222,1.613
2501.688,1.565
2502.232,1.484
2502.698,1.413
2503.242,1.342
2503.709,1.294
2504.175,1.246
2504.718,1.2
2505.185,1.164
2505.729,1.129
2506.196,1.093
2506.74,1.082
2507.206,1.07
2507.75,1.058
2508.216,1.046
2508.683,1.034
2509.227,1.035
2509.693,1.035
2510.237,1.023
2510.702,1.023
2511.246,1.023
2511.714,1.023
2512.18,1.011
2512.724,1.011
2513.19,1.011
2513.734,1.011
2514.201,1.011
2514.745,1.011
2515.211,1.011
2515.677,1.012
2516.222,1.012
2516.688,1.012
2517.232,1.012
2517.698,1.012
2518.242,1.012
2518.709,1.012
