# Energy, Intensity
2459.175,0.0000173
2459.718,-0.0118
2460.185,-0.0236
2460.729,-0.0117
2461.196,0.000217
2461.74,0.0239
2462.206,0.024
2462.75,0.0359
2463.216,0.0359
2463.683,0.036
2464.227,0.0479
2464.693,0.0479
2465.237,0.0598
2465.702,0.0953
2466.246,0.297
2466.714,0.297
2467.18,0.237
2467.724,0.249
2468.19,0.343
2468.734,0.427
2469.201,0.534
2469.745,0.545
2470.211,0.51
2470.677,0.404
2471.222,0.38
2471.688,0.367
2472.232,0.392
2472.698,0.546
2473.242,0.629
2473.709,0.676
2474.175,0.794
2474.718,0.877
2475.185,0.948
2475.729,1.031
2476.196,1.008
2476.74,1.02
2477.206,1.091
2477.75,1.043
2478.216,1.02
2478.683,0.972
2479.227,0.948
2479.693,0.984
2480.237,1.351
2480.702,2.464
2481.246,4.038
2481.714,4.724
2482.18,4.073
2482.724,2.617
2483.19,1.565
2483.734,1.363
2484.201,1.174
2484.745,1.091
2485.211,1.044
2485.677,0.996
2486.222,0.948
2486.688,0.926
2487.232,0.914
2487.698,0.902
2488.242,0.89
2488.709,0.914
2489.175,0.938
2489.718,0.984
2490.185,1.021
2490.729,1.056
2491.196,1.068
2491.74,1.092
2492.206,1.092
2492.75,1.163
2493.216,1.187
2493.683,1.199
2494.227,1.211
2494.693,1.211
2495.237,1.258
2495.702,1.27
2496.246,1.294
2496.714,1.305
2497.18,1.317
2497.724,1.282
2498.19,1.317
2498.734,1.341
2499.201,1.341
2499.745,1.258
2500.211,1.365
2500.677,1.33
2501.222,1.306
2501.688,1.282
2502.232,1.259
2502.698,1.188
2503.242,1.164
2503.709,1.129
2504.175,1.105
2504.718,1.093
2505.185,1.081
2505.729,1.07
2506.196,1.07
2506.74,1.07
2507.206,1.07
2507.75,1.07
2508.216,1.058
2508.683,1.117
2509.227,1.094
2509.693,1.07
2510.237,1.046
2510.702,1.035
2511.246,1.023
2511.714,1.011
2512.18,0.999
2512.724,0.988
2513.19,0.988
2513.734,0.988
2514.201,0.976
2514.745,0.988
2515.211,0.988
2515.677,0.988
2516.222,0.988
2516.688,0.988
2517.232,0.988
2517.698,0.988
2518.242,0.988
2518.709,0.988
2518.863,0.988
