# Energy, Intensity
2437.041912,0.00492526663872336
2439.54386,0.00433532145987354
2442.045065,0.00405132833198201
2444.546263,0.00359381944419449
2447.046783,0.00385513365794171
2449.546775,0.00342321606841429
2452.047114,0.00287277113943312
2454.548085,0.00279760447358472
2457.047811,0.00258010355215329
2459.548139,0.0025951407388153
2462.048028,0.00249564473226136
2464.397963,0.00278947323141736
2466.150164,0.00324150110939936
2467.00061,0.0040819005343881
2467.251098,0.00471760554549199
2467.353158,0.00593894647248681
2467.453641,0.00595777655265268
2467.552668,0.00626509408178162
2467.65306,0.00746591307290294
2467.754079,0.00859476743858838
2467.853643,0.00972618414765197
2467.953222,0.0109561565183821
2468.05343,0.0127137652956704
2468.153285,0.0137624593742453
2468.253278,0.0152030190787826
2468.353655,0.0162844169419503
2468.453802,0.0171607722181109
2468.553473,0.0185120852772807
2468.653773,0.0187492433074602
2468.754334,0.0194918215831689
2468.854051,0.0194003384921877
2468.954029,0.0194537349201506
2469.054145,0.0188950751729596
2469.153908,0.0184314180624635
2469.253564,0.0190419506243614
2469.353603,0.0172264188947195
2469.453412,0.0172948078287106
2469.55299,0.0171674695528804
2469.653444,0.0163957283189822
2469.753791,0.01644843624627
2469.853661,0.0160470588150136
2469.953792,0.0161568338023849
2470.054062,0.0161842642934632
2470.153486,0.0163008451726908
2470.253417,0.0175664138936552
2470.353733,0.0172613099889014
2470.453326,0.0179165510939495
2470.553672,0.0190425302282299
2470.654281,0.019926207064784
2470.754412,0.0197494141271486
2470.853942,0.0193163014349677
2470.953734,0.021099684411457
2471.053788,0.0203819494145051
2471.153364,0.0217475022955415
2471.253572,0.0224546512542957
2471.354042,0.0221948858929512
2471.453663,0.0225426173449159
2471.554041,0.0234080505540498
2471.65431,0.0244514351288554
2471.754101,0.0250495207661061
2471.854154,0.0243870507561216
2471.953728,0.0252556524686162
2472.053935,0.0260764479438948
2472.153664,0.0281186463841583
2472.253408,0.0280433959573075
2472.354154,0.0310557268248243
2472.453805,0.0309565039135808
2472.553718,0.0320159735991173
2472.654141,0.0339338475364826
2472.754084,0.0364647036140404
2472.854167,0.0370041674493948
2472.954141,0.0385741922518934
2473.053759,0.0393774855164846
2473.153393,0.0407838827590013
2473.25366,0.0418290404824936
2473.353819,0.0426591456443818
2473.454116,0.0437583317797012
2473.554058,0.0441930247166533
2473.654015,0.0431174497948147
2473.754607,0.0446254519362786
2473.854347,0.0456804504897247
2473.954474,0.045324854477879
2474.054863,0.0463310282064409
2474.154649,0.0473864734754369
2474.253955,0.0473873672201661
2474.353647,0.0493926544855505
2474.454098,0.0482511898947202
2474.553944,0.0507179968059807
2474.654178,0.0508043451655279
2474.754427,0.0512575433548311
2474.853947,0.0508205014119284
2474.953854,0.0502760399987002
2475.054025,0.0512383154302166
2475.154211,0.0527218991034652
2475.253792,0.0529837318136942
2475.35376,0.0524179402090135
2475.454239,0.0541170996130723
2475.554238,0.0556530112057247
2475.654128,0.0543608228416607
2475.754529,0.0540103931162925
2475.854449,0.0540363532678126
2475.953888,0.0550130048358438
2476.054211,0.0559741698015388
2476.154177,0.0549391874544172
2476.254033,0.0540047506573777
2476.35465,0.054028214069485
2476.454662,0.0548754155516957
2476.55444,0.0552832513108714
2476.654233,0.0535894992945894
2476.75429,0.0537285589703693
2476.854362,0.0541632561285826
2476.953827,0.053934869053753
2477.053805,0.0546792386718259
2477.154296,0.0528046918346757
2477.254677,0.0515728824171557
