# Energy, Intensity
2459.175,0.0000173
2459.718,0.0000709
2460.185,0.000117
2460.729,0.000171
2461.196,0.000217
2461.74,0.00027
2462.206,0.000316
2462.75,0.00037
2463.216,0.000416
2463.683,0.000462
2464.227,0.000516
2464.693,0.000561
2465.237,0.000615
2465.702,0.000661
2466.246,0.000715
2466.714,0.000761
2467.18,0.000807
2467.724,0.00086
2468.19,-0.0109
2468.734,-0.0109
2469.201,-0.0108
2469.745,-0.0108
2470.211,-0.0107
2470.677,-0.0107
2471.222,-0.0106
2471.688,-0.0106
2472.232,0.00131
2472.698,0.00135
2473.242,0.00141
2473.709,0.0133
2474.175,0.0133
2474.718,0.0252
2475.185,0.0371
2475.729,0.0608
2476.196,0.0727
2476.74,0.0846
2477.206,0.108
2477.75,0.12
2478.216,0.179
2478.683,0.274
2479.227,0.499
2479.693,0.795
2480.237,1.813
2480.702,3.422
2481.246,9.245
2481.714,10.322
2482.18,9.884
2482.724,4.523
2483.19,2.736
2483.734,1.659
2484.201,1.482
2484.745,1.328
2485.211,1.198
2485.677,1.08
2486.222,0.996
2486.688,0.96
2487.232,0.855
2487.698,0.879
2488.242,0.867
2488.709,0.867
2489.175,0.938
2489.718,1.044
2490.185,1.163
2490.729,1.258
2491.196,1.329
2491.74,1.341
2492.206,1.435
2492.75,1.577
2493.216,1.613
2493.683,1.625
2494.227,1.648
2494.693,1.73
2495.237,1.708
2495.702,1.791
2496.246,1.862
2496.714,1.862
2497.18,1.814
2497.724,1.814
2498.19,1.897
2498.734,1.815
2499.201,1.779
2499.745,1.779
2500.211,1.85
2500.677,1.732
2501.222,1.637
2501.688,1.626
2502.232,1.626
2502.698,1.413
2503.242,1.306
2503.709,1.377
2504.175,1.318
2504.718,1.164
2505.185,1.117
2505.729,1.129
2506.196,1.141
2506.74,1.153
2507.206,1.153
2507.75,1.129
2508.216,0.987
2508.683,0.904
2509.227,0.975
2509.693,1.046
2510.237,1.106
2510.702,1.094
2511.246,1.094
2511.714,1.07
2512.18,1.058
2512.724,1.047
2513.19,1.047
2513.734,1.047
2514.201,1.047
2514.745,1.035
2515.211,1.035
2515.677,1.023
2516.222,1.023
2516.688,1.012
2517.232,1
2517.698,1
2518.242,0.988
2518.709,0.976
2518.863,0.976
