# Energy, Intensity
2459.175,0.0000173
2459.718,0.0000709
2460.185,0.000117
2460.729,0.012
2461.196,0.0121
2461.74,0.0121
2462.206,0.0122
2462.75,0.0122
2463.216,0.0123
2463.683,0.0241
2464.227,0.0242
2464.693,0.0242
2465.237,0.0243
2465.702,0.0243
2466.246,0.0244
2466.714,0.0363
2467.18,0.0481
2467.724,0.0955
2468.19,0.261
2468.734,0.77
2469.201,1.267
2469.745,1.338
2470.211,1.338
2470.677,0.877
2471.222,0.688
2471.688,0.652
2472.232,0.688
2472.698,0.806
2473.242,0.995
2473.709,1.126
2474.175,1.351
2474.718,1.386
2475.185,1.434
2475.729,1.599
2476.196,1.647
2476.74,1.611
2477.206,1.659
2477.75,1.635
2478.216,1.6
2478.683,1.552
2479.227,1.48
2479.693,1.292
2480.237,1.233
2480.702,1.209
2481.246,1.174
2481.714,1.138
2482.18,1.115
2482.724,1.091
2483.19,1.008
2483.734,1.008
2484.201,0.96
2484.745,1.044
2485.211,1.056
2485.677,1.056
2486.222,1.056
2486.688,1.02
2487.232,1.009
2487.698,1.032
2488.242,1.044
2488.709,0.984
2489.175,0.95
2489.718,0.95
2490.185,0.95
2490.729,0.95
2491.196,0.962
2491.74,0.974
2492.206,0.974
2492.75,0.986
2493.216,0.986
2493.683,0.998
2494.227,0.998
2494.693,1.009
2495.237,1.009
2495.702,1.021
2496.246,1.021
2496.714,1.021
2497.18,1.033
2497.724,1.045
2498.19,1.045
2498.734,1.057
2499.201,1.057
2499.745,1.057
2500.211,1.057
2500.677,1.069
2501.222,1.069
2501.688,1.069
2502.232,1.081
2502.698,1.093
2503.242,1.105
2503.709,1.105
2504.175,1.105
2504.718,1.093
2505.185,1.093
2505.729,1.093
2506.196,1.093
2506.74,1.082
2507.206,1.07
2507.75,1.046
2508.216,1.034
2508.683,1.011
2509.227,0.999
2509.693,0.987
2510.237,0.987
2510.702,0.987
2511.246,0.987
2511.714,0.987
2512.18,0.987
2512.724,0.988
2513.19,0.988
2513.734,0.988
2514.201,0.988
2514.745,0.988
2515.211,0.988
2515.677,0.988
2516.222,0.988
2516.688,0.988
2517.232,0.988
2517.698,1
2518.242,1
2518.709,0.988
2518.863,0.976
